Code,Name,Category,Tags
F101,access_time,,
E002,accessibility,,
F00C,accessibility_checkmark,,
F0552,accessibility_error,,
F064A,accessibility_more,,
F0554,accessibility_question_mark,,
F598,add,,
F06CA,add_circle,,
F01E5,add_square,,
F0266,add_square_multiple,,
F08E3,add_starburst,,
E00E,add_subtract_circle,,
F07F3,agents,,
F09D3,agents_add,,
F0690,airplane,,
E0EF,airplane_landing,,
F113,airplane_take_off,,
E010,album,,
E012,album_add,,
E016,alert,,
F07F4,alert_badge,,
F11A,alert_off,,
F11B,alert_on,,
F11D,alert_snooze,,
F11F,alert_urgent,,
E023,align_bottom,,
E029,align_center_horizontal,,
E02F,align_center_vertical,,
F09C,align_distribute_bottom,,
F09D,align_distribute_left,,
F09E,align_distribute_right,,
F09F,align_distribute_top,,
E030,align_end_horizontal,,
E031,align_end_vertical,,
E037,align_left,,
E03D,align_right,,
E03E,align_space_around_horizontal,,
E03F,align_space_around_vertical,,
E040,align_space_between_horizontal,,
E041,align_space_between_vertical,,
E0F0,align_space_evenly_horizontal,,
F01B5,align_space_evenly_vertical,,
E044,align_space_fit_vertical,,
E045,align_start_horizontal,,
E046,align_start_vertical,,
F01B7,align_straighten,,
E047,align_stretch_horizontal,,
E048,align_stretch_vertical,,
E04E,align_top,,
F128,animal_cat,,
F121,animal_dog,,
F0787,animal_paw_print,,
EEC1,animal_rabbit,,
EEE5,animal_rabbit_off,,
E057,animal_turtle,,
E05B,app_folder,,
F015E,app_generic,,
F125,app_recent,,
F12A,app_store,,
F12B,app_title,,
F06CB,approvals_app,,
F599,apps,,
F07F6,apps_add_in,,
F07FC,apps_add_in_off,,
F07FD,apps_list,,
F07FE,apps_list_detail,,
F059D,apps_settings,,
F059F,apps_shield,,
F13C,archive,,
E06C,archive_arrow_back,,
E06F,archive_multiple,,
F0423,archive_settings,,
E074,arrow_autofit_content,,
E076,arrow_autofit_down,,
F8CD,arrow_autofit_height,,
E079,arrow_autofit_height_dotted,,
F010F,arrow_autofit_height_in,,
E07B,arrow_autofit_up,,
F8CE,arrow_autofit_width,,
E07E,arrow_autofit_width_dotted,,
E080,arrow_between_down,,
E081,arrow_between_up,,
F02A3,arrow_bidirectional_left_right,,
E085,arrow_bidirectional_up_down,,
F0742,arrow_bounce,,
E08D,arrow_circle_down,,
F12F,arrow_circle_down_double,,
E090,arrow_circle_down_right,,
F144,arrow_circle_down_split,,
E091,arrow_circle_down_up,,
E098,arrow_circle_left,,
E09F,arrow_circle_right,,
E0A6,arrow_circle_up,,
E0A8,arrow_circle_up_left,,
F00CF,arrow_circle_up_right,,
F0800,arrow_circle_up_sparkle,,
E0AD,arrow_clockwise,,
F0789,arrow_clockwise_dashes,,
F078F,arrow_clockwise_dashes_settings,,
E0B1,arrow_collapse_all,,
E0B5,arrow_counterclockwise,,
E0B7,arrow_counterclockwise_dashes,,
F0805,arrow_counterclockwise_info,,
E0BA,arrow_curve_down_left,,
F142,arrow_curve_down_right,,
F145,arrow_curve_up_left,,
F146,arrow_curve_up_right,,
F14D,arrow_down,,
F0555,arrow_down_exclamation,,
E0BD,arrow_down_left,,
F0728,arrow_down_right,,
F152,arrow_download,,
F03AD,arrow_download_off,,
E0BE,arrow_eject,,
E0BF,arrow_enter,,
E0C1,arrow_enter_left,,
E0C3,arrow_enter_up,,
F08E9,arrow_exit,,
F09D4,arrow_expand,,
F0624,arrow_expand_all,,
F0281,arrow_export,,
E0C8,arrow_export_ltr,,
E0CA,arrow_export_rtl,,
E0CC,arrow_export_up,,
F03D3,arrow_fit,,
F03D4,arrow_fit_in,,
F0747,arrow_flow_diagonal_up_right,,
F01BF,arrow_flow_up_right,,
F01C1,arrow_flow_up_right_rectangle_multiple,,
E0D1,arrow_forward,,
E0D3,arrow_forward_down_lightning,,
E0D5,arrow_forward_down_person,,
F09A5,arrow_hook_down_left,,
F09A6,arrow_hook_down_right,,
F09A7,arrow_hook_up_left,,
F09A8,arrow_hook_up_right,,
F15A,arrow_import,,
E0D6,arrow_join,,
F19E,arrow_left,,
E0D9,arrow_maximize,,
E0DA,arrow_maximize_vertical,,
F167,arrow_minimize,,
F168,arrow_minimize_vertical,,
F169,arrow_move,,
E0DC,arrow_move_inward,,
F16B,arrow_next,,
F0202,arrow_outline_down_left,,
E0E1,arrow_outline_up_right,,
EEBF,arrow_paragraph,,
F16D,arrow_previous,,
F8E7,arrow_redo,,
EF34,arrow_repeat_1,,
F072A,arrow_repeat_all,,
F175,arrow_repeat_all_off,,
F179,arrow_reply,,
F17D,arrow_reply_all,,
F180,arrow_reply_down,,
E0E9,arrow_reset,,
F1A7,arrow_right,,
F186,arrow_rotate_clockwise,,
F188,arrow_rotate_counterclockwise,,
F01E7,arrow_routing,,
F01E9,arrow_routing_rectangle_multiple,,
EF3A,arrow_shuffle,,
EF40,arrow_shuffle_off,,
F18C,arrow_sort,,
F811,arrow_sort_down,,
E0F2,arrow_sort_down_lines,,
F821,arrow_sort_up,,
F0558,arrow_sort_up_lines,,
E0F5,arrow_split,,
F0161,arrow_sprint,,
F0806,arrow_square,,
F0807,arrow_square_down,,
F01C3,arrow_square_up_right,,
E0F9,arrow_step_back,,
E0FE,arrow_step_in,,
F0206,arrow_step_in_diagonal_down_left,,
E103,arrow_step_in_left,,
E108,arrow_step_in_right,,
E10D,arrow_step_out,,
E10F,arrow_step_over,,
F02A5,arrow_swap,,
F191,arrow_sync,,
E112,arrow_sync_checkmark,,
F06AF,arrow_sync_circle,,
E114,arrow_sync_dismiss,,
E116,arrow_sync_off,,
F198,arrow_trending,,
E118,arrow_trending_checkmark,,
E11B,arrow_trending_down,,
E11D,arrow_trending_lines,,
E11F,arrow_trending_settings,,
F59B,arrow_trending_sparkle,,
E121,arrow_trending_text,,
E123,arrow_trending_wrench,,
F822,arrow_turn_bidirectional_down_right,,
F068,arrow_turn_down_left,,
