Code,Name,Category,Tags
f2b9,Address Book,Business;Communication;Users + People,
f2bb,Address Card,Business;Communication;Users + People,
f0f3,bell,Alert;Education;Household;Maps;Shopping;Social;Time,
f1f6,Bell Slash,Alert;Education;Maps;Time,
f02e,bookmark,Maps;Shapes;Shopping;Writing,
f1ad,Building,Buildings;Business;Humanitarian;Maps,
f133,Calendar,Business;Shapes;Time,
f274,Calendar Check,Time,
f073,Calendar Days,Business;Time,
f272,Calendar Minus,Time,
f271,Calendar Plus,Time,
f273,Calendar X Mark,Time,
f080,Bar Chart,Charts + Diagrams,
f43a,Chess Bishop,Gaming,
f43f,Chess King,Gaming,
f441,Chess Knight,Gaming,
f443,Chess Pawn,Gaming,
f445,Chess Queen,Gaming,
f447,Chess Rook,Gaming,
f111,Circle,Film + Video;Shapes;Toggle,
f058,Circle check,Editing;Text Formatting;Toggle,
f192,Circle dot,Toggle,
f358,Circle down,Arrows,
f359,Circle left,Arrows,
f28b,Circle pause,Media Playback,
f144,Circle play,Media Playback,
f059,Circle question,Accessibility;Punctuation + Symbols,
f35a,Circle right,Arrows,
f28d,Circle stop,Media Playback,
f35b,Circle up,Arrows,
f2bd,Circle user,Social;Users + People,
f057,Circle X Mark,Mathematics,
f328,Clipboard,Business,
f017,Clock,Time,
f24d,Clone,Design;Files;Photos + Images,
f20a,Closed Captioning,Accessibility;Film + Video,
f075,comment,Communication;Shapes;Social,
f4ad,Comment Dots,Communication,
f086,comments,Communication,
f14e,Compass,Business;Camping;Spinners,
f0c5,Copy,Business;Design;Files,
f1f9,Copyright,Business,
f09d,Credit Card,Money;Shopping,
f0e0,Envelope,Business;Communication;Humanitarian;Social;Writing,
f2b6,Envelope Open,Business;Communication;Writing,
f06e,Eye,Accessibility;Design;Maps;Medical + Health;Photos + Images;Security,
f070,Eye Slash,Design;Editing;Maps;Photos + Images;Security,
f556,Face angry,Emoji,
f567,Face dizzy,Emoji,
f579,Face flushed,Emoji,
f119,Face frown,Communication;Emoji;Users + People,
f57a,Face frown open,Emoji,
f57f,Face grimace,Emoji,
f580,Face grin,Emoji,
f582,Face grin beam,Emoji,
f583,Face grin beam sweat,Emoji,
f584,Face grin hearts,Emoji;Holidays,
f585,Face grin squint,Emoji,
f586,Face grin squint tears,Emoji,
f587,Face grin stars,Emoji,
f588,Face grin tears,Emoji,
f589,Face grin tongue,Emoji,
f58a,Face grin tongue squint,Emoji,
f58b,Face grin tongue wink,Emoji,
f581,Face grin wide,Emoji,
f58c,Face grin wink,Emoji,
f596,Face kiss,Emoji,
f597,Face Kiss Beam,Emoji,
f598,Face Kiss Wink Heart,Emoji;Holidays,
f599,Face Laugh,Emoji,
f59a,Face Laugh Beam,Emoji,
f59b,Face Laugh Squint,Emoji,
f59c,Face Laugh Wink,Emoji,
f11a,Face meh,Communication;Emoji;Users + People,
f5a4,Face Meh Blank,Emoji,
f5a5,Face Rolling Eyes,Emoji,
f5b3,Face Sad Cry,Emoji,
f5b4,Face Sad Tear,Emoji,
f118,Face Smile,Communication;Emoji;Users + People,
f5b8,Face Smile Beam,Emoji,
f4da,Face Smile Wink,Emoji,
f5c2,Face Surprise,Emoji,
f5c8,Face Tired,Emoji,
f15b,File,Business;Coding;Files;Humanitarian;Shapes;Writing,
f1c7,Audio File,Files;Film + Video;Music + Audio,
f1c9,Code File,Coding;Files,
f1c3,Excel File,Files,
f1c5,Image File,Files;Photos + Images,
f15c,File lines,Business;Coding;Files;Writing,
f1c1,PDF File,Files;Humanitarian,
f1c4,Powerpoint File,Files,
f1c8,Video File,Files;Film + Video,
f1c2,Word File,Files,
f1c6,File zipper,Files,
f024,flag,Humanitarian;Maps,
f0c7,Floppy Disk,Business;Design;Devices + Hardware;Files,
f07b,Folder,Business;Coding;Files;Shapes;Writing,
e185,Folder Closed,Files,
f07c,Folder Open,Business;Coding;Files;Writing,
f1e3,Futbol ball,Sports + Fitness,
f3a5,Gem,Shopping,
f256,Paper (Hand),Hands;Media Playback,
f255,Rock (Hand),Hands,
f258,Lizard (Hand),Hands,
f25b,Peace (Hand),Hands,
f0a7,Hand Pointing Down,Hands,
f0a5,Hand Pointing Left,Hands,
f0a4,Hand Pointing Right,Hands,
f0a6,Hand Pointing Up,Hands,
f25a,Pointer (Hand),Hands,
f257,Scissors (Hand),Hands,
f259,Spock (Hand),Hands;Science Fiction,
f2b5,Handshake,Charity;Hands;Political;Shopping,
f0a0,Hard drive,Devices + Hardware,
f004,Heart,Charity;Gaming;Holidays;Maps;Medical + Health;Shapes;Shopping;Social;Sports + Fitness,
f0f8,hospital,Buildings;Humanitarian;Maps;Medical + Health,
f254,Hourglass,Time,
f252,Hourglass Half,Time,
f2c1,Identification Badge,Photos + Images;Security;Users + People,
f2c2,Identification Card,Humanitarian;Photos + Images;Security;Users + People,
f03e,Image,Maps;Photos + Images;Social,
f302,Images,Maps;Photos + Images;Social,
f11c,Keyboard,Coding;Devices + Hardware;Writing,
f094,Lemon,Food + Beverage;Fruits + Vegetables;Maps,
f1cd,Life Ring,Humanitarian;Maps;Spinners,
f0eb,Lightbulb,Energy;Household;Maps;Marketing,
f279,Map,Camping;Maps;Travel + Hotel,
f27a,Message,Communication;Social,
f3d1,Money bill 1,Maps;Money,
f186,Moon,Astronomy;Weather,
f1ea,Newspaper,Maps;Writing,
f249,Note sticky,Business;Files;Writing,
f247,Object Group,Design,
f248,Object Ungroup,Design,
f1d8,Paper Plane,Communication;Transportation;Writing,
f0ea,Paste,Business;Design;Files,
f044,Pen to square,Business;Design;Editing;Writing,
f022,Rectangle list,Text Formatting,
f410,Rectangle X Mark,Coding,
f25d,Registered Trademark,Business,
f14d,Share from square,Arrows;Social,
f2dc,Snowflake,Disaster + Crisis;Household;Humanitarian;Spinners;Travel + Hotel;Weather,
f0c8,Square,Shapes,
f150,Square caret down,Arrows,
f191,Square caret left,Arrows,
f152,Square caret right,Arrows,
f151,Square caret up,Arrows,
f14a,Square check,Editing;Text Formatting,
f45c,Square Full,Gaming,
f146,Square minus,Mathematics,
f0fe,Square plus,Maps;Medical + Health,
f005,Star,Shapes;Shopping;Social;Toggle,
f089,star-half,Toggle,
f5c0,Star half stroke,Toggle,
f185,Sun,Energy;Spinners;Weather,
f165,thumbs-down,Hands;Shopping;Social,
f164,thumbs-up,Hands;Shopping;Social,
f2ed,Trash can,Editing;Humanitarian,
f007,User,Social;Users + People,
f2d0,Window Maximize,Coding,
f2d1,Window Minimize,Coding,
f2d2,Window Restore,Coding,
