Code,Name,Category,Tags
f368,Accessible Icon,Accessibility,accessibility;disabled;handicap;person;uer;wheelchair;wheelchair-alt
f368,Accessible Icon,Medical + Health,accessibility;disabled;handicap;person;uer;wheelchair;wheelchair-alt
f368,Accessible Icon,Transportation,accessibility;disabled;handicap;person;uer;wheelchair;wheelchair-alt
f368,Accessible Icon,Users + People,accessibility;disabled;handicap;person;uer;wheelchair;wheelchair-alt
f642,Alipay,Shopping,
f42c,Amazon Pay,Shopping,
f415,Apple Pay,Shopping,
f379,Bitcoin,Money,
f379,Bitcoin,Shopping,
e671,Bluesky,Social,social network
f293,Bluetooth,Connectivity,signal
f294,Bluetooth B,Communication,
f15a,Btc,Money,
f15a,Btc,Shopping,
f42d,Cc Amazon Pay,Shopping,
f1f3,Cc Amex,Shopping,amex
f416,Cc Apple Pay,Shopping,
f24c,Cc Diners Club,Shopping,
f1f2,Cc Discover,Shopping,
f24b,Cc Jcb,Shopping,
f1f1,Cc Mastercard,Shopping,
f1f4,Cc Paypal,Shopping,
f1f5,Cc Stripe,Shopping,
f1f0,Cc Visa,Shopping,
f6c9,Critical Role,Gaming,Dungeons & Dragons;d&d;dnd;fantasy;game;gaming;tabletop
e6a2,Css,Coding,rebecca purple
f38d,D And D,Gaming,
f6ca,D And D Beyond,Gaming,Dungeons & Dragons;d&d;dnd;fantasy;gaming;tabletop
f42e,Ethereum,Money,
f42e,Ethereum,Shopping,
f09a,Facebook,Social,fabook;facebook-official;fb;social network
f6dc,Fantasy Flight Games,Gaming,Dungeons & Dragons;d&d;dnd;fantasy;game;gaming;tabletop
f2b4,Font Awesome,Coding,awesome;flag;font;icons;typeface
f2b4,Font Awesome,Design,awesome;flag;font;icons;typeface
f50c,Galactic Republic,Science Fiction,politics;star wars
f50d,Galactic Senate,Science Fiction,star wars
f260,Gg,Money,
f261,Gg Circle,Money,
e079,Google Pay,Shopping,
f1ee,Google Wallet,Shopping,
f50e,Jedi Order,Science Fiction,star wars
f3d2,Napster,Music + Audio,
e530,Nfc Directional,Shopping,connect;data;near field communication;nfc;scan;signal;transfer;wireless
e531,Nfc Symbol,Shopping,connect;data;near field communication;nfc;scan;signal;transfer;wireless
f510,Old Republic,Science Fiction,politics;star wars
f1ed,Paypal,Shopping,
f3df,Playstation,Gaming,
f1be,Soundcloud,Music + Audio,
e5ac,Space Awesome,Science Fiction,adventure;rocket;ship;shuttle
f1bc,Spotify,Music + Audio,
e6a3,Square Bluesky,Social,social network
f1b7,Square Steam,Gaming,
f1b6,Steam,Gaming,
f3f6,Steam Symbol,Gaming,
f429,Stripe,Shopping,
f42a,Stripe S,Shopping,
f1e8,Twitch,Gaming,
e07c,Unsplash,Photos + Images,
e682,Web Awesome,Coding,awesome;coding;components;crown;web
e682,Web Awesome,Design,awesome;coding;components;crown;web
f730,Wizards Of The Coast,Gaming,Dungeons & Dragons;d&d;dnd;fantasy;game;gaming;tabletop
f412,Xbox,Gaming,
f167,Youtube,Film + Video,film;video;youtube-play;youtube-square
