Code,Name,Category,Tags
E001,CheckMarkLegacy,legacy;checkmark;check;mark,
E002,CheckboxFillLegacy,legacy;solid;box,
E003,CheckboxLegacy,legacy,
E004,CheckboxIndeterminateLegacy,legacy,
E005,CheckboxCompositeReversedLegacy,legacy,
E006,HeartLegacy,legacy,
E007,HeartBrokenLegacy,legacy,
E008,CheckMarkZeroWidthLegacy,legacy,
E009,CheckboxFillZeroWidthLegacy,legacy;zero-width,
E00A,RatingStarFillZeroWidthLegacy,legacy;zero-width,
E00B,HeartFillZeroWidthLegacy,legacy;zero-width,
E00C,HeartBrokenZeroWidthLegacy,legacy;zero-width,
E00E,ScrollChevronLeftLegacy,legacy,
E00F,ScrollChevronRightLegacy,legacy,
E010,ScrollChevronUpLegacy,legacy,
E011,ScrollChevronDownLegacy,legacy,
E012,,duplicate,
E013,,duplicate,
E014,,duplicate,
E015,,duplicate,
E016,ScrollChevronLeftBoldLegacy,legacy,
E017,ScrollChevronRightBoldLegacy,legacy,
E018,ScrollChevronUpBoldLegacy,legacy,
E019,ScrollChevronDownBoldLegacy,legacy,
E052,,duplicate,
E07F,,duplicate,
E081,,duplicate,
E082,RatingStarFillReducedPaddingHTMLLegacy,legacy,
E087,,duplicate,
E08F,,duplicate;keyboard;split,
E094,,duplicate,
E096,,duplicate,
E097,,duplicate,
E098,,duplicate,
E099,,duplicate,
E09A,,duplicate,
E09B,,duplicate,
E09C,,duplicate,
E09D,,duplicate,
E09E,,duplicate,
E09F,,duplicate,
E0A0,,duplicate,
E0A1,,duplicate,
E0A2,CheckboxCompositeLegacy,legacy,
E0A5,HeartFillLegacy,legacy,
E0A6,BackBttnArrow42Legacy,legacy,
E0AB,BackBttnMirroredArrow42Legacy,legacy,
E0AD,BackBttnMirroredArrow20Legacy,legacy,
E0AE,ArrowHTMLMirroredLegacy,legacy,
E0B4,RatingStarFillLegacy,legacy,
E0B5,RatingStarFillSmallLegacy,duplicate,
E0B8,,duplicate,
E0C4,BackBttnArrow20Legacy,legacy,
E0D5,ArrowHTMLLegacy,legacy,
E0E2,,duplicate,
E0E3,,duplicate,
E0E4,,duplicate,
E0E5,,duplicate,
E0E7,,duplicate,
E100,,duplicate,
E101,,duplicate,
E102,,duplicate,
E103,,duplicate,
E104,,duplicate;pencil,
E105,,duplicate;save,
E106,,duplicate,
E107,,duplicate;trash,
E108,,duplicate;math,
E109,,duplicate;math,
E10A,,duplicate,
E10B,,duplicate,
E10C,,duplicate;menu,
E10D,,duplicate,
E10E,,duplicate,
E10F,,duplicate,
E110,,duplicate,
